weight_class,division,qt
43,Sub-Junior,140
43,Junior,192.5
47,Open,230
47,Sub-Junior,147.5
47,Junior,205
47,Master 1,182.5
47,Master 2,152.5
47,Master 3,137.5
47,Master 4,127.5
52,Open,250
52,Sub-Junior,157.5
52,Junior,220
52,Master 1,195
52,Master 2,165
52,Master 3,147.5
52,Master 4,137.5
57,Open,270
57,Sub-Junior,172.5
57,Junior,237.5
57,Master 1,210
57,Master 2,177.5
57,Master 3,160
57,Master 4,147.5
63,Open,297.5
63,Sub-Junior,185
63,Junior,262.5
63,Master 1,227.5
63,Master 2,190
63,Master 3,172.5
63,Master 4,157.5
69,Open,317.5
69,Sub-Junior,195
69,Junior,280
69,Master 1,242.5
69,Master 2,202.5
69,Master 3,182.5
69,Master 4,170
76,Open,337.5
76,Sub-Junior,210
76,Junior,295
76,Master 1,257.5
76,Master 2,217.5
76,Master 3,192
76,Master 4,180
84,Open,352.5
84,Sub-Junior,222.5
84,Junior,310
84,Master 1,275
84,Master 2,230
84,Master 3,207.5
84,Master 4,190
84+,Open,372.5
84+,Sub-Junior,237.5
84+,Junior,327.5
84+,Master 1,290
84+,Master 2,242.5
84+,Master 3,220
84+,Master 4,200
