weight_class,division,qt
53,Sub-Junior,275
53,Junior,352.5
59,Open,402.5
59,Sub-Junior,302.5
59,Junior,390
59,Master 1,347.5
59,Master 2,317.5
59,Master 3,282.5
59,Master 4,255
66,Open,445
66,Sub-Junior,335
66,Junior,430
66,Master 1,382.5
66,Master 2,350
66,Master 3,312.5
66,Master 4,280
74,Open,487.5
74,Sub-Junior,365
74,Junior,470
74,Master 1,417.5
74,Master 2,382.5
74,Master 3,340
74,Master 4,305
83,Open,525
83,Sub-Junior,395
83,Junior,507.5
83,Master 1,450
83,Master 2,412.5
83,Master 3,367.5
83,Master 4,330
93,Open,557.5
93,Sub-Junior,420
93,Junior,537.5
93,Master 1,477.5
93,Master 2,437.5
93,Master 3,390
93,Master 4,350
105,Open,585
105,Sub-Junior,440
105,Junior,565
105,Master 1,502.5
105,Master 2,460
105,Master 3,410
105,Master 4,367.5
120,Open,607.5
120,Sub-Junior,460
120,Junior,587.5
120,Master 1,522.5
120,Master 2,480
120,Master 3,427.5
120,Master 4,382.5
120+,Open,622.5
120+,Sub-Junior,465
120+,Junior,602.5
120+,Master 1,535
120+,Master 2,490
120+,Master 3,432.5
120+,Master 4,390
